transaction_date,weather_temp_max_c,weather_temp_min_c,weather_temp_mean_c,weather_precipitation_mm,weather_rain_mm,weather_snowfall_mm,weather_wind_speed_max_kmh,weather_source,weather_is_real
2023-01-22,5.6,-3.4,1.4,5.4,5.4,0.0,15.8,Open-Meteo Historical Weather API,1
2023-01-23,3.0,1.2,2.5,16.9,16.5,0.28,25.0,Open-Meteo Historical Weather API,1
2023-01-24,7.8,-1.0,2.3,0.0,0.0,0.0,27.7,Open-Meteo Historical Weather API,1
2023-01-25,10.6,-2.4,2.2,20.0,19.4,0.42,44.7,Open-Meteo Historical Weather API,1
2023-01-26,11.9,3.0,7.5,14.5,14.5,0.0,36.0,Open-Meteo Historical Weather API,1
2023-01-27,6.2,-1.5,2.2,0.0,0.0,0.0,19.2,Open-Meteo Historical Weather API,1
2023-01-28,10.9,-0.8,4.4,0.0,0.0,0.0,23.8,Open-Meteo Historical Weather API,1
2023-01-29,10.5,0.2,5.6,0.0,0.0,0.0,22.5,Open-Meteo Historical Weather API,1
2023-01-30,11.7,2.5,6.1,0.0,0.0,0.0,13.2,Open-Meteo Historical Weather API,1
2023-01-31,6.5,0.5,3.4,2.5,1.9,0.42,19.1,Open-Meteo Historical Weather API,1
2023-02-01,3.2,-3.2,-0.6,1.6,0.0,1.12,16.5,Open-Meteo Historical Weather API,1
2023-02-02,4.1,-4.4,-0.2,0.0,0.0,0.0,19.1,Open-Meteo Historical Weather API,1
2023-02-03,0.3,-10.6,-4.4,0.0,0.0,0.0,42.2,Open-Meteo Historical Weather API,1
2023-02-04,-3.8,-16.5,-9.5,0.0,0.0,0.0,39.8,Open-Meteo Historical Weather API,1
2023-02-05,9.1,-4.7,1.4,0.0,0.0,0.0,19.1,Open-Meteo Historical Weather API,1
2023-02-06,10.2,-0.9,4.2,0.0,0.0,0.0,29.2,Open-Meteo Historical Weather API,1
2023-02-07,3.7,-4.1,0.4,2.6,2.4,0.14,21.6,Open-Meteo Historical Weather API,1
2023-02-08,10.4,1.1,4.8,0.7,0.7,0.0,22.5,Open-Meteo Historical Weather API,1
2023-02-09,11.1,-1.8,4.7,0.0,0.0,0.0,20.9,Open-Meteo Historical Weather API,1
2023-02-10,14.1,6.0,11.2,0.0,0.0,0.0,28.1,Open-Meteo Historical Weather API,1
2023-02-11,6.8,0.4,3.7,0.0,0.0,0.0,23.5,Open-Meteo Historical Weather API,1
2023-02-12,6.8,-0.6,2.8,0.8,0.2,0.42,18.7,Open-Meteo Historical Weather API,1
2023-02-13,13.4,2.5,6.6,1.8,1.3,0.35,23.9,Open-Meteo Historical Weather API,1
2023-02-14,11.4,2.5,6.3,0.0,0.0,0.0,23.2,Open-Meteo Historical Weather API,1
2023-02-15,17.0,3.0,10.2,0.0,0.0,0.0,26.9,Open-Meteo Historical Weather API,1
2023-02-16,19.2,9.2,12.7,2.9,2.9,0.0,17.6,Open-Meteo Historical Weather API,1
2023-02-17,15.4,0.3,9.7,8.1,8.1,0.0,33.8,Open-Meteo Historical Weather API,1
2023-02-18,5.8,-2.7,0.9,0.0,0.0,0.0,28.9,Open-Meteo Historical Weather API,1
2023-02-19,8.1,-0.3,4.0,0.0,0.0,0.0,29.8,Open-Meteo Historical Weather API,1
2023-02-20,15.4,5.6,9.0,0.0,0.0,0.0,25.3,Open-Meteo Historical Weather API,1
2023-02-21,8.4,2.0,4.4,7.1,6.5,0.42,17.8,Open-Meteo Historical Weather API,1
2023-02-22,5.6,-0.8,2.5,4.4,4.0,0.28,15.0,Open-Meteo Historical Weather API,1
2023-02-23,7.8,2.7,4.6,0.6,0.6,0.0,16.1,Open-Meteo Historical Weather API,1
2023-02-24,7.4,-2.1,3.9,0.0,0.0,0.0,35.3,Open-Meteo Historical Weather API,1
2023-02-25,0.2,-5.6,-3.0,0.7,0.0,0.49,19.8,Open-Meteo Historical Weather API,1
2023-02-26,10.2,-3.8,2.2,0.0,0.0,0.0,34.7,Open-Meteo Historical Weather API,1
2023-02-27,4.9,-2.2,1.6,3.8,0.1,2.59,23.7,Open-Meteo Historical Weather API,1
2023-02-28,2.2,-0.6,1.0,13.1,2.7,7.28,24.8,Open-Meteo Historical Weather API,1
2023-03-01,5.8,-2.5,1.9,3.4,0.9,1.75,22.0,Open-Meteo Historical Weather API,1
2023-03-02,13.8,2.2,6.8,1.5,1.5,0.0,23.2,Open-Meteo Historical Weather API,1
2023-03-03,7.5,-1.5,3.3,2.8,2.8,0.0,30.4,Open-Meteo Historical Weather API,1
2023-03-04,7.2,3.2,5.4,41.8,41.8,0.0,38.4,Open-Meteo Historical Weather API,1
2023-03-05,12.2,-0.4,5.5,0.0,0.0,0.0,27.4,Open-Meteo Historical Weather API,1
2023-03-06,10.2,1.4,5.9,0.0,0.0,0.0,23.1,Open-Meteo Historical Weather API,1
2023-03-07,7.4,1.1,3.7,2.7,0.2,1.75,36.3,Open-Meteo Historical Weather API,1
2023-03-08,9.4,-2.1,2.9,0.0,0.0,0.0,34.6,Open-Meteo Historical Weather API,1
2023-03-09,10.4,-0.5,4.3,0.0,0.0,0.0,22.3,Open-Meteo Historical Weather API,1
2023-03-10,7.4,-1.2,3.3,7.3,7.3,0.0,16.8,Open-Meteo Historical Weather API,1
2023-03-11,7.0,1.8,4.2,13.1,11.2,1.33,25.8,Open-Meteo Historical Weather API,1
2023-03-12,7.8,-1.0,3.4,0.0,0.0,0.0,19.2,Open-Meteo Historical Weather API,1
2023-03-13,5.9,3.7,4.7,16.7,16.7,0.0,20.5,Open-Meteo Historical Weather API,1
2023-03-14,3.4,1.1,2.1,12.2,8.0,2.94,44.3,Open-Meteo Historical Weather API,1
2023-03-15,7.1,0.9,3.3,0.0,0.0,0.0,38.7,Open-Meteo Historical Weather API,1
2023-03-16,13.4,-1.3,5.5,0.0,0.0,0.0,19.9,Open-Meteo Historical Weather API,1
2023-03-17,14.4,2.5,8.5,0.0,0.0,0.0,22.2,Open-Meteo Historical Weather API,1
2023-03-18,11.1,3.0,7.6,0.7,0.7,0.0,26.1,Open-Meteo Historical Weather API,1
2023-03-19,3.8,-2.8,1.2,0.0,0.0,0.0,27.3,Open-Meteo Historical Weather API,1
2023-03-20,10.7,-3.2,3.2,0.0,0.0,0.0,17.8,Open-Meteo Historical Weather API,1
2023-03-21,15.8,-0.9,7.4,0.0,0.0,0.0,20.1,Open-Meteo Historical Weather API,1
2023-03-22,13.3,2.3,7.8,0.0,0.0,0.0,23.1,Open-Meteo Historical Weather API,1
2023-03-23,14.9,5.2,10.7,2.8,2.8,0.0,24.5,Open-Meteo Historical Weather API,1
2023-03-24,13.1,5.7,8.7,0.2,0.2,0.0,19.1,Open-Meteo Historical Weather API,1
2023-03-25,7.5,3.0,5.6,11.5,11.5,0.0,31.4,Open-Meteo Historical Weather API,1
2023-03-26,15.1,3.2,9.4,0.0,0.0,0.0,24.5,Open-Meteo Historical Weather API,1
2023-03-27,14.9,2.5,7.8,2.6,2.6,0.0,23.7,Open-Meteo Historical Weather API,1
2023-03-28,11.2,3.1,6.6,0.6,0.6,0.0,21.1,Open-Meteo Historical Weather API,1
2023-03-29,11.0,-0.1,5.3,0.0,0.0,0.0,24.2,Open-Meteo Historical Weather API,1
2023-03-30,7.6,-1.5,3.3,0.1,0.1,0.0,28.5,Open-Meteo Historical Weather API,1
2023-03-31,10.1,-0.8,6.0,0.0,0.0,0.0,29.4,Open-Meteo Historical Weather API,1
2023-04-01,19.7,9.6,14.9,10.1,10.1,0.0,26.7,Open-Meteo Historical Weather API,1
2023-04-02,10.6,3.2,6.9,0.0,0.0,0.0,35.3,Open-Meteo Historical Weather API,1
2023-04-03,13.4,-0.2,7.1,0.0,0.0,0.0,30.9,Open-Meteo Historical Weather API,1
2023-04-04,18.7,5.9,13.3,0.0,0.0,0.0,16.8,Open-Meteo Historical Weather API,1
2023-04-05,13.6,9.4,11.7,0.4,0.4,0.0,20.5,Open-Meteo Historical Weather API,1
2023-04-06,26.5,10.6,16.6,3.3,3.3,0.0,18.7,Open-Meteo Historical Weather API,1
2023-04-07,13.9,6.8,11.2,0.0,0.0,0.0,21.9,Open-Meteo Historical Weather API,1
2023-04-08,10.4,1.8,6.1,0.0,0.0,0.0,19.9,Open-Meteo Historical Weather API,1
2023-04-09,11.8,1.2,6.4,0.0,0.0,0.0,24.2,Open-Meteo Historical Weather API,1
2023-04-10,17.9,2.2,9.1,0.0,0.0,0.0,18.8,Open-Meteo Historical Weather API,1
2023-04-11,23.0,6.4,14.8,0.0,0.0,0.0,26.0,Open-Meteo Historical Weather API,1
2023-04-12,27.5,15.6,20.5,0.0,0.0,0.0,24.1,Open-Meteo Historical Weather API,1
2023-04-13,31.1,11.9,22.1,0.0,0.0,0.0,20.6,Open-Meteo Historical Weather API,1
2023-04-14,29.6,13.9,22.0,0.0,0.0,0.0,19.2,Open-Meteo Historical Weather API,1
2023-04-15,21.0,14.6,17.6,5.0,5.0,0.0,19.5,Open-Meteo Historical Weather API,1
2023-04-16,21.0,12.3,15.8,0.0,0.0,0.0,17.7,Open-Meteo Historical Weather API,1
2023-04-17,20.0,11.6,14.4,3.1,3.1,0.0,24.5,Open-Meteo Historical Weather API,1
2023-04-18,14.4,7.1,11.3,0.1,0.1,0.0,36.5,Open-Meteo Historical Weather API,1
2023-04-19,17.5,4.3,10.4,0.0,0.0,0.0,24.5,Open-Meteo Historical Weather API,1
2023-04-20,15.9,5.8,10.5,0.0,0.0,0.0,16.2,Open-Meteo Historical Weather API,1
2023-04-21,19.0,8.1,13.1,0.0,0.0,0.0,23.9,Open-Meteo Historical Weather API,1
2023-04-22,19.8,9.9,14.3,15.7,15.7,0.0,30.5,Open-Meteo Historical Weather API,1
2023-04-23,19.2,11.2,14.6,18.4,18.4,0.0,20.6,Open-Meteo Historical Weather API,1
2023-04-24,16.2,6.3,11.2,0.0,0.0,0.0,19.1,Open-Meteo Historical Weather API,1
2023-04-25,15.2,5.6,10.4,0.3,0.3,0.0,13.2,Open-Meteo Historical Weather API,1
2023-04-26,13.9,6.2,10.0,0.9,0.9,0.0,22.1,Open-Meteo Historical Weather API,1
2023-04-27,13.5,7.3,10.6,0.7,0.7,0.0,16.8,Open-Meteo Historical Weather API,1
2023-04-28,13.1,6.8,9.8,6.1,6.1,0.0,23.3,Open-Meteo Historical Weather API,1
2023-04-29,12.2,8.8,10.7,59.5,59.5,0.0,30.7,Open-Meteo Historical Weather API,1
2023-04-30,14.9,10.5,12.8,22.2,22.2,0.0,27.5,Open-Meteo Historical Weather API,1
2023-05-01,15.7,7.6,12.6,1.8,1.8,0.0,38.6,Open-Meteo Historical Weather API,1
2023-05-02,13.4,8.4,10.4,0.8,0.8,0.0,26.9,Open-Meteo Historical Weather API,1
2023-05-03,12.6,5.8,9.5,0.7,0.7,0.0,14.8,Open-Meteo Historical Weather API,1
2023-05-04,14.4,6.3,10.2,1.7,1.7,0.0,16.3,Open-Meteo Historical Weather API,1
2023-05-05,17.1,6.9,11.6,3.5,3.5,0.0,11.9,Open-Meteo Historical Weather API,1
2023-05-06,21.0,6.6,14.2,0.0,0.0,0.0,19.0,Open-Meteo Historical Weather API,1
2023-05-07,23.8,9.3,16.4,0.0,0.0,0.0,22.1,Open-Meteo Historical Weather API,1
2023-05-08,23.7,12.9,18.2,0.0,0.0,0.0,21.2,Open-Meteo Historical Weather API,1
2023-05-09,19.3,9.8,14.1,0.0,0.0,0.0,21.7,Open-Meteo Historical Weather API,1
2023-05-10,21.2,7.2,14.3,0.0,0.0,0.0,19.8,Open-Meteo Historical Weather API,1
2023-05-11,25.4,9.6,17.8,0.0,0.0,0.0,21.7,Open-Meteo Historical Weather API,1
2023-05-12,29.5,13.0,21.1,0.0,0.0,0.0,15.3,Open-Meteo Historical Weather API,1
2023-05-13,27.4,17.6,22.0,0.0,0.0,0.0,19.7,Open-Meteo Historical Weather API,1
2023-05-14,22.9,12.6,17.6,0.0,0.0,0.0,22.0,Open-Meteo Historical Weather API,1
2023-05-15,25.4,9.7,17.5,0.0,0.0,0.0,18.7,Open-Meteo Historical Weather API,1
2023-05-16,27.8,12.8,20.3,0.0,0.0,0.0,24.9,Open-Meteo Historical Weather API,1
2023-05-17,18.8,10.6,15.1,0.0,0.0,0.0,26.4,Open-Meteo Historical Weather API,1
2023-05-18,14.2,6.8,11.1,0.0,0.0,0.0,22.1,Open-Meteo Historical Weather API,1
2023-05-19,19.5,10.5,14.9,0.0,0.0,0.0,33.0,Open-Meteo Historical Weather API,1
2023-05-20,17.6,13.6,15.8,26.9,26.9,0.0,15.9,Open-Meteo Historical Weather API,1
2023-05-21,21.9,13.0,17.3,0.6,0.6,0.0,23.0,Open-Meteo Historical Weather API,1
2023-05-22,23.0,12.3,16.9,0.2,0.2,0.0,20.6,Open-Meteo Historical Weather API,1
2023-05-23,19.5,11.1,14.5,0.0,0.0,0.0,21.5,Open-Meteo Historical Weather API,1
2023-05-24,21.9,9.9,15.6,0.7,0.7,0.0,25.0,Open-Meteo Historical Weather API,1
2023-05-25,19.2,10.1,14.7,0.0,0.0,0.0,25.9,Open-Meteo Historical Weather API,1
2023-05-26,22.2,10.1,16.1,0.0,0.0,0.0,15.3,Open-Meteo Historical Weather API,1
2023-05-27,24.4,9.9,17.2,0.0,0.0,0.0,20.1,Open-Meteo Historical Weather API,1
2023-05-28,23.6,11.6,17.7,0.0,0.0,0.0,19.9,Open-Meteo Historical Weather API,1
2023-05-29,24.7,13.8,18.5,0.0,0.0,0.0,28.5,Open-Meteo Historical Weather API,1
2023-05-30,20.4,11.8,15.6,0.0,0.0,0.0,18.6,Open-Meteo Historical Weather API,1
2023-05-31,22.6,10.8,16.1,0.0,0.0,0.0,15.3,Open-Meteo Historical Weather API,1
2023-06-01,27.4,12.3,19.5,0.0,0.0,0.0,17.4,Open-Meteo Historical Weather API,1
2023-06-02,30.8,15.1,22.3,0.0,0.0,0.0,17.1,Open-Meteo Historical Weather API,1
2023-06-03,20.1,14.1,18.4,3.5,3.5,0.0,22.3,Open-Meteo Historical Weather API,1
2023-06-04,21.5,10.4,15.5,0.1,0.1,0.0,25.0,Open-Meteo Historical Weather API,1
2023-06-05,24.0,11.6,17.8,0.0,0.0,0.0,21.5,Open-Meteo Historical Weather API,1
2023-06-06,25.8,14.6,19.6,0.2,0.2,0.0,33.9,Open-Meteo Historical Weather API,1
2023-06-07,25.1,13.2,18.8,0.0,0.0,0.0,21.3,Open-Meteo Historical Weather API,1
2023-06-08,22.4,10.7,16.8,0.0,0.0,0.0,19.2,Open-Meteo Historical Weather API,1
2023-06-09,22.9,11.7,16.9,0.9,0.9,0.0,20.0,Open-Meteo Historical Weather API,1
2023-06-10,26.4,12.3,19.1,0.2,0.2,0.0,18.1,Open-Meteo Historical Weather API,1
2023-06-11,27.1,16.4,21.3,0.0,0.0,0.0,18.6,Open-Meteo Historical Weather API,1
2023-06-12,24.0,19.2,21.0,8.5,8.5,0.0,27.0,Open-Meteo Historical Weather API,1
2023-06-13,26.4,16.1,21.0,0.0,0.0,0.0,21.6,Open-Meteo Historical Weather API,1
2023-06-14,24.7,14.9,18.5,9.5,9.5,0.0,24.1,Open-Meteo Historical Weather API,1
2023-06-15,26.2,15.0,20.4,0.0,0.0,0.0,20.4,Open-Meteo Historical Weather API,1
2023-06-16,25.9,15.1,19.2,10.8,10.8,0.0,18.8,Open-Meteo Historical Weather API,1
2023-06-17,25.5,14.8,20.0,0.1,0.1,0.0,31.6,Open-Meteo Historical Weather API,1
2023-06-18,26.5,15.8,21.4,0.0,0.0,0.0,19.2,Open-Meteo Historical Weather API,1
2023-06-19,25.2,16.3,20.5,1.4,1.4,0.0,20.0,Open-Meteo Historical Weather API,1
2023-06-20,23.5,16.5,19.5,0.0,0.0,0.0,21.3,Open-Meteo Historical Weather API,1
2023-06-21,22.9,15.5,18.8,0.3,0.3,0.0,23.4,Open-Meteo Historical Weather API,1
2023-06-22,21.0,15.4,18.2,0.3,0.3,0.0,25.0,Open-Meteo Historical Weather API,1
2023-06-23,22.9,17.0,19.8,12.4,12.4,0.0,21.8,Open-Meteo Historical Weather API,1
2023-06-24,25.7,19.2,21.6,21.2,21.2,0.0,16.9,Open-Meteo Historical Weather API,1
2023-06-25,28.5,18.6,23.0,1.9,1.9,0.0,17.9,Open-Meteo Historical Weather API,1
2023-06-26,25.5,19.1,21.8,4.6,4.6,0.0,20.3,Open-Meteo Historical Weather API,1
2023-06-27,26.4,19.4,21.8,18.7,18.7,0.0,18.8,Open-Meteo Historical Weather API,1
2023-06-28,28.6,18.9,22.9,2.1,2.1,0.0,13.8,Open-Meteo Historical Weather API,1
2023-06-29,28.6,16.2,22.4,0.0,0.0,0.0,14.3,Open-Meteo Historical Weather API,1
2023-06-30,29.2,17.1,23.0,0.0,0.0,0.0,21.1,Open-Meteo Historical Weather API,1
2023-07-01,26.9,17.7,22.5,0.0,0.0,0.0,24.7,Open-Meteo Historical Weather API,1
2023-07-02,31.2,20.4,24.5,16.1,16.1,0.0,20.6,Open-Meteo Historical Weather API,1
2023-07-03,31.1,22.4,25.6,17.8,17.8,0.0,16.8,Open-Meteo Historical Weather API,1
2023-07-04,29.4,21.3,24.7,5.4,5.4,0.0,13.2,Open-Meteo Historical Weather API,1
2023-07-05,32.3,21.0,26.3,0.0,0.0,0.0,15.2,Open-Meteo Historical Weather API,1
2023-07-06,31.3,21.5,26.0,0.0,0.0,0.0,20.0,Open-Meteo Historical Weather API,1
2023-07-07,29.7,21.9,25.2,0.6,0.6,0.0,18.4,Open-Meteo Historical Weather API,1
2023-07-08,29.6,22.5,25.4,4.4,4.4,0.0,15.2,Open-Meteo Historical Weather API,1
2023-07-09,27.0,21.5,23.2,18.5,18.5,0.0,14.9,Open-Meteo Historical Weather API,1
2023-07-10,28.7,21.3,24.3,1.3,1.3,0.0,17.2,Open-Meteo Historical Weather API,1
2023-07-11,31.8,17.1,24.8,0.0,0.0,0.0,10.6,Open-Meteo Historical Weather API,1
2023-07-12,33.0,19.6,26.7,0.0,0.0,0.0,16.3,Open-Meteo Historical Weather API,1
2023-07-13,31.9,21.3,26.9,0.2,0.2,0.0,24.4,Open-Meteo Historical Weather API,1
2023-07-14,28.2,21.4,24.4,36.6,36.6,0.0,20.7,Open-Meteo Historical Weather API,1
2023-07-15,29.5,20.5,24.8,8.0,8.0,0.0,16.8,Open-Meteo Historical Weather API,1
2023-07-16,26.0,21.9,24.0,41.4,41.4,0.0,18.2,Open-Meteo Historical Weather API,1
2023-07-17,31.8,20.0,25.6,0.1,0.1,0.0,17.6,Open-Meteo Historical Weather API,1
2023-07-18,29.6,21.4,25.0,8.3,8.3,0.0,17.1,Open-Meteo Historical Weather API,1
2023-07-19,27.5,18.8,23.0,3.8,3.8,0.0,10.9,Open-Meteo Historical Weather API,1
2023-07-20,28.5,20.0,24.1,0.5,0.5,0.0,14.9,Open-Meteo Historical Weather API,1
2023-07-21,29.5,21.9,24.3,3.5,3.5,0.0,15.6,Open-Meteo Historical Weather API,1
2023-07-22,28.5,18.5,23.6,0.0,0.0,0.0,15.1,Open-Meteo Historical Weather API,1
2023-07-23,30.1,17.4,23.9,0.5,0.5,0.0,19.3,Open-Meteo Historical Weather API,1
2023-07-24,28.8,18.6,24.3,1.9,1.9,0.0,23.1,Open-Meteo Historical Weather API,1
2023-07-25,28.7,19.2,23.2,9.0,9.0,0.0,15.1,Open-Meteo Historical Weather API,1
2023-07-26,30.1,17.1,23.9,0.4,0.4,0.0,20.9,Open-Meteo Historical Weather API,1
2023-07-27,33.9,22.3,27.2,0.7,0.7,0.0,27.5,Open-Meteo Historical Weather API,1
2023-07-28,34.2,21.4,27.7,0.0,0.0,0.0,17.3,Open-Meteo Historical Weather API,1
2023-07-29,33.9,23.4,27.9,4.3,4.3,0.0,32.8,Open-Meteo Historical Weather API,1
2023-07-30,26.3,17.7,22.0,0.0,0.0,0.0,19.6,Open-Meteo Historical Weather API,1
2023-07-31,29.5,15.6,22.7,0.0,0.0,0.0,14.9,Open-Meteo Historical Weather API,1
2023-08-01,27.0,17.0,22.0,0.0,0.0,0.0,18.9,Open-Meteo Historical Weather API,1
2023-08-02,27.8,14.6,20.9,0.0,0.0,0.0,16.9,Open-Meteo Historical Weather API,1
2023-08-03,26.4,15.6,21.6,0.9,0.9,0.0,30.0,Open-Meteo Historical Weather API,1
2023-08-04,27.5,18.5,23.1,0.9,0.9,0.0,21.3,Open-Meteo Historical Weather API,1
2023-08-05,30.8,18.3,24.5,0.2,0.2,0.0,12.9,Open-Meteo Historical Weather API,1
2023-08-06,29.9,18.1,24.2,0.0,0.0,0.0,21.8,Open-Meteo Historical Weather API,1
2023-08-07,27.8,22.0,24.2,37.9,37.9,0.0,31.2,Open-Meteo Historical Weather API,1
2023-08-08,27.1,21.6,23.9,15.2,15.2,0.0,30.6,Open-Meteo Historical Weather API,1
2023-08-09,29.5,19.8,24.4,0.1,0.1,0.0,22.4,Open-Meteo Historical Weather API,1
2023-08-10,25.5,18.8,22.0,11.9,11.9,0.0,14.9,Open-Meteo Historical Weather API,1
2023-08-11,29.2,18.1,23.4,0.1,0.1,0.0,20.2,Open-Meteo Historical Weather API,1
2023-08-12,28.1,17.1,22.8,8.6,8.6,0.0,16.6,Open-Meteo Historical Weather API,1
2023-08-13,30.7,21.5,25.4,2.9,2.9,0.0,20.8,Open-Meteo Historical Weather API,1
2023-08-14,30.9,18.8,24.5,1.3,1.3,0.0,20.5,Open-Meteo Historical Weather API,1
2023-08-15,27.0,21.2,24.0,20.3,20.3,0.0,17.5,Open-Meteo Historical Weather API,1
2023-08-16,26.6,20.8,23.0,4.0,4.0,0.0,14.4,Open-Meteo Historical Weather API,1
2023-08-17,25.7,20.4,22.9,5.9,5.9,0.0,20.3,Open-Meteo Historical Weather API,1
2023-08-18,27.0,19.6,23.7,3.1,3.1,0.0,25.3,Open-Meteo Historical Weather API,1
2023-08-19,26.4,15.4,20.7,0.0,0.0,0.0,21.0,Open-Meteo Historical Weather API,1
2023-08-20,29.9,15.2,22.7,0.0,0.0,0.0,14.4,Open-Meteo Historical Weather API,1
2023-08-21,31.1,18.5,25.0,0.1,0.1,0.0,15.1,Open-Meteo Historical Weather API,1
2023-08-22,26.1,18.0,22.2,0.0,0.0,0.0,22.7,Open-Meteo Historical Weather API,1
2023-08-23,25.5,16.0,20.4,0.0,0.0,0.0,18.1,Open-Meteo Historical Weather API,1
2023-08-24,24.5,19.5,21.4,2.2,2.2,0.0,26.4,Open-Meteo Historical Weather API,1
2023-08-25,28.0,20.5,23.5,11.1,11.1,0.0,19.7,Open-Meteo Historical Weather API,1
2023-08-26,30.2,19.9,24.7,0.4,0.4,0.0,14.8,Open-Meteo Historical Weather API,1
2023-08-27,28.4,18.5,23.2,0.5,0.5,0.0,13.3,Open-Meteo Historical Weather API,1
2023-08-28,25.0,18.9,21.6,1.1,1.1,0.0,18.4,Open-Meteo Historical Weather API,1
2023-08-29,27.6,17.8,22.6,1.6,1.6,0.0,13.5,Open-Meteo Historical Weather API,1
2023-08-30,29.6,21.0,24.4,0.7,0.7,0.0,20.7,Open-Meteo Historical Weather API,1
2023-08-31,25.1,17.1,20.6,0.0,0.0,0.0,22.5,Open-Meteo Historical Weather API,1
2023-09-01,24.5,13.7,18.9,0.0,0.0,0.0,13.7,Open-Meteo Historical Weather API,1
2023-09-02,27.0,12.9,19.7,0.0,0.0,0.0,24.2,Open-Meteo Historical Weather API,1
2023-09-03,32.3,18.0,25.2,0.3,0.3,0.0,16.8,Open-Meteo Historical Weather API,1
2023-09-04,33.8,19.9,26.9,1.2,1.2,0.0,18.1,Open-Meteo Historical Weather API,1
2023-09-05,35.3,22.1,28.1,0.0,0.0,0.0,14.1,Open-Meteo Historical Weather API,1
2023-09-06,35.9,23.0,28.9,0.0,0.0,0.0,9.4,Open-Meteo Historical Weather API,1
2023-09-07,35.2,21.5,27.7,3.8,3.8,0.0,18.5,Open-Meteo Historical Weather API,1
2023-09-08,31.7,20.4,25.2,14.3,14.3,0.0,16.1,Open-Meteo Historical Weather API,1
2023-09-09,29.2,20.8,23.7,8.5,8.5,0.0,12.6,Open-Meteo Historical Weather API,1
2023-09-10,24.5,19.6,21.9,16.5,16.5,0.0,10.7,Open-Meteo Historical Weather API,1
2023-09-11,27.6,19.9,22.9,4.4,4.4,0.0,10.5,Open-Meteo Historical Weather API,1
2023-09-12,29.0,19.1,23.1,0.2,0.2,0.0,11.9,Open-Meteo Historical Weather API,1
2023-09-13,26.6,19.8,22.3,17.1,17.1,0.0,11.9,Open-Meteo Historical Weather API,1
2023-09-14,25.0,17.0,20.3,0.0,0.0,0.0,16.9,Open-Meteo Historical Weather API,1
2023-09-15,21.5,13.6,17.3,0.0,0.0,0.0,23.3,Open-Meteo Historical Weather API,1
2023-09-16,24.5,15.2,19.0,0.0,0.0,0.0,22.0,Open-Meteo Historical Weather API,1
2023-09-17,24.2,11.8,18.4,0.5,0.5,0.0,14.8,Open-Meteo Historical Weather API,1
2023-09-18,21.5,16.6,18.9,13.9,13.9,0.0,17.3,Open-Meteo Historical Weather API,1
2023-09-19,23.5,13.4,17.9,0.0,0.0,0.0,21.5,Open-Meteo Historical Weather API,1
2023-09-20,23.5,11.7,17.2,0.0,0.0,0.0,14.3,Open-Meteo Historical Weather API,1
2023-09-21,22.8,11.6,16.8,0.0,0.0,0.0,13.0,Open-Meteo Historical Weather API,1
